assignedto,randgroup
1,1
2,1,,,"NOTES:"
1,2,,," - Do NOT modify the first row, although you may modify, add, or delete any other row in this file."
2,2,,," - Remember that this file is ONLY a template and should NOT be used as-is as your allocation table."
1,3,,," - You do not have to delete this 'notes' column when uploading your allocation table (it will be ignored)."
2,3,,," - Below is a list of all raw coded values and their corresponding option labels for each strata field and/or Data Access Groups."
1,1
2,1,,,"Values/labels for ""assignedto"" (Assigned To):"
1,2,,,"1","X"
2,2,,,"2","Y"
1,3
2,3,,,"Values/labels for ""randgroup"" (RandGroup):"
1,1,,,"1","A"
2,1,,,"2","B"
1,2,,,"3","C"
2,2
1,3
2,3
1,1
2,1
1,2
2,2
1,3
2,3
1,1
2,1
1,2
2,2
1,3
2,3
